,Missed States
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,California
5,Colorado
6,Connecticut
7,Delaware
8,Florida
9,Georgia
10,Hawaii
11,Idaho
12,Illinois
13,Indiana
14,Iowa
15,Kansas
16,Kentucky
17,Louisiana
18,Maryland
19,Massachusetts
20,Michigan
21,Minnesota
22,Mississippi
23,Missouri
24,Montana
25,Nebraska
26,Nevada
27,New Hampshire
28,New Jersey
29,New Mexico
30,North Carolina
31,Oklahoma
32,Oregon
33,Pennsylvania
34,Rhode Island
35,South Carolina
36,Tennessee
37,Texas
38,Utah
39,Vermont
40,Virginia
41,West Virginia
42,Wisconsin
43,Wyoming
